year	arrest_number	arrest_charge_description	arrest_location	arrest_report_date	arresting_officer	arrestee_race	arrestee_gender	arrestee_residence_city	arrestee_age
2010	SS‐00428‐10	HARASSMENT SECOND DEGREE ‐ PHYSICAL CONTACT	WASHINGTON ST	2010-05-31	AHIGIAN	BLACK/AFRICAN AMERICAN	M	SARATOGA SPRINGS	18
2010	SS‐00426‐10	CRIMINAL POSSESSION OF A WEAPON THIRD DEGREE	CHURCH ST	2010-05-31	LEFFLER	WHITE	M	SARATOGA SPRINGS	25
2010	SS‐00428‐10	RESISTING ARREST	WAS	2010-05-31	AHIGIAN	BLACK/AFRICAN AMERICAN	M	SARATOGA SPRINGS	18
2010	SS‐00426‐10	MENACING SECOND DEGREE	CHURCH ST	2010-05-31	LEFFLER	WHITE	M	SARATOGA SPRINGS	25
2010	SS‐00427‐10	TRESPASS	CHURCH ST	2010-05-31	ARPEI	WHITE	F	GREENFIELD CTR	53
2010	SS‐00425‐10	CRIMINAL POSSESSION OF A WEAPON FOURTH DEGREE	HATHORN BLVD	2010-05-30	CARTER	WHITE	M	SARATOGA SPRINGS	17
2010	SS‐00425‐10	CRIMINAL MISCHIEF FOURTH DEGREE	HATHORN BLVD	2010-05-30	CARTER	WHITE	M	SARATOGA SPRINGS	17
2010	SS‐00424‐10	DRIVING WHILE INTOXICATED	CHURCH ST	2010-05-30	CALLAHAN	WHITE	M	SCHENECTADY	26
2010	SS‐00423‐10	FAILED TO SIGNAL A TURN	PHILA ST AT PUTNAM ST	2010-05-30	CAREY	WHITE	M	BALLSTON SPA	35
2010	SS‐00423‐10	DRIVING WHILE INTOXICATED	PHILA ST	2010-05-30	CAREY	WHITE	M	BALLSTON SPA	35
2010	SS‐00423‐10	BAC MORE .08	PHILA ST	2010-05-30	CAREY	WHITE	M	BALLSTON SPA	35
2010	SS‐00423‐10	AGGR. UNLICENSED OPER 1ST DEGREE/UNDER INFLUENCE	PHILA ST	2010-05-30	CAREY	WHITE	M	BALLSTON SPA	35
2010	SS‐00425‐10	MENACING SECOND DEGREE	HATHORN BLVD	2010-05-30	CARTER	WHITE	M	SARATOGA SPRINGS	17
2010	SS‐00422‐10	FAIL TO OBEY TRAFFIC CONTROL DEVICE	CIRCULAR ST	2010-05-29	TETU	WHITE	M	GANSEVOORT	32
2010	SS‐00422‐10	DRIVING WHILE INTOXICATED	CIRCULAR ST	2010-05-29	TETU	WHITE	M	GANSEVOORT	32
2010	SS‐00422‐10	BAC MORE .08	CIRCULAR ST	2010-05-29	TETU	WHITE	M	GANSEVOORT	32
2010	SS‐00422‐10	AGGRAVATED DRIVING WHILE INTOXICATED	CIRCULAR ST	2010-05-29	TETU	WHITE	M	GANSEVOORT	32
2010	SS‐00422‐10	AGGR. UNLICENSED OPER 1ST DEGREE/UNDER INFLUENCE	CIRCULAR ST	2010-05-29	TETU	WHITE	M	GANSEVOORT	32
2010	SS‐00421‐10	DISORDERLY CONDUCT	BROADWAY	2010-05-29	FRENCH	WHITE	M	SARATOGA SPRINGS	53
2010	XX‐00105‐10	ASSAULT IN THE THIRD DEGREE//INTENT PHYSICAL INJ	AURORA AVE	2010-05-29		WHITE	M	WAYZATA	59
2010	SS‐00420‐10	PETIT LARCENY	BALLSTON AVE	2010-05-27	KRYLOWICZ	BLACK/AFRICAN AMERICAN	M	SARATOGA SPRINGS	50
2010	SS‐00419‐10	CRIMINAL POSSESSION OF A FORGED INSTRUMENT FIRST	BALLSTON AVE	2010-05-27	LEVANITES	UNKNOWN	M	SARATOGA SPRINGS	51
2010	SS‐00419‐10	CRIMINAL POSSESSION OF A FORGED INSTRUMENT FIRST	RAILROAD PL	2010-05-27	LEVANITES	UNKNOWN	M	SARATOGA SPRINGS	51
